"","Estimate","Std. Error","t value","Pr(>|t|)","Padj","gene"
"ILMN_1678618",-0.0961867690742882,0.0330130919172938,-2.91359468283857,0.00386005671930916,0.0890711255330429,"ELAVL3"
"ILMN_1664010",-0.0621863789768267,0.0206980227070476,-3.00445988764195,0.00290042758787153,0.0863416743540577,"ELF1"
"ILMN_1736048",-0.0768469052095208,0.0333478738035873,-2.30440194364818,0.0219294002424243,0.167648065464788,"ELL"
"ILMN_2317730",-0.0444825359842064,0.0176525036164373,-2.51989955366932,0.0122933074078919,0.139111962274985,"ELMO2"
"ILMN_1752665",-0.0592176318983086,0.0278944211268944,-2.12292026527176,0.0346347198150056,0.200777587946436,"ELMO3"
"ILMN_1718297",0.0671743611278009,0.0260743809617525,2.57625909609653,0.0104984341503412,0.130337907310927,"EML4"
"ILMN_1755873",-0.110594419847999,0.0499760639846827,-2.21294777999916,0.027704920434802,0.183604422824723,"EMR3"
"ILMN_1722309",0.0909225394429155,0.0302955504326581,3.00118460118495,0.0029308154853574,0.0863416743540577,"ENDOG"
"ILMN_1765796",0.0990045495858421,0.0375122986153053,2.63925574386016,0.00877268477334786,0.118925242703125,"ENO2"
"ILMN_1773125",-0.0940838740212057,0.0374055197237357,-2.51524039008352,0.0124532627984021,0.139592928975734,"ENTPD1"
"ILMN_1673023",0.0662052928248439,0.0264667571483655,2.5014508749113,0.0129375872530148,0.140535717069786,"EP400"
"ILMN_1704753",-0.083577651363836,0.0379479939790776,-2.20242607316518,0.0284473189671736,0.185938497924948,"EPAS1"
"ILMN_1664265",0.0860802619911622,0.0412418049851204,2.08720888967442,0.0377702052366789,0.208378148331183,"EPHA1"
"ILMN_1709237",0.117231011469454,0.0487954582080024,2.40249842454042,0.0169323045329896,0.153388263269393,"EPHX2"
"ILMN_1772981",-0.0475020055484542,0.0192610512540903,-2.46622081639322,0.0142518474048379,0.145094792523243,"EPN1"
"ILMN_1783695",0.0620115108043172,0.025670781868575,2.41564558188345,0.0163454142541027,0.151899971693317,"EPRS"
"ILMN_2104696",-0.089626794758985,0.0314689700374037,-2.84810067353509,0.00472285533037143,0.0957699139693589,"ERICH1"
"ILMN_1731001",-0.0709082275138437,0.027371720562305,-2.59056522780285,0.0100818554381349,0.128529818634792,"ERICH1"
"ILMN_1730731",-0.151009829501443,0.0397396490898919,-3.79997893690143,0.000177433699827016,0.0388860756371361,"ERLIN1"
"ILMN_1700549",-0.0748192396699263,0.0303677359276763,-2.46377404782878,0.0143473756822216,0.145094792523243,"ERLIN2"
"ILMN_1698404",-0.0621713638437775,0.0314574372610394,-1.9763645502292,0.0490912561627692,0.234797307961011,"ERN1"
"ILMN_2251184",0.0551668988178222,0.0233151718356839,2.36613734638615,0.0186533634780501,0.159010974808623,"ERP29"
"ILMN_2323048",0.0488370241711082,0.0188316499496701,2.5933481294327,0.0100025613443816,0.128529818634792,"ERP29"
"ILMN_1720285",0.0541804435907008,0.0264582813490463,2.04776882050405,0.0415121251579496,0.216571811339755,"ESD"
"ILMN_2046896",-0.0777563399814288,0.028684140011282,-2.71077814955742,0.00712568210677916,0.110341920832334,"ESRRA"
"ILMN_1761159",0.0865670283968843,0.0299041112393347,2.89482030427367,0.00409135925308641,0.0919491499119919,"ESYT1"
"ILMN_1687538",0.0905799814226108,0.0310556038829241,2.91670327081987,0.00382293189923319,0.0890334858240833,"ETS1"
"ILMN_2122103",0.0892685275019954,0.038124605910178,2.34149377733407,0.0199055819735219,0.162523859898177,"ETS1"
"ILMN_1733579",-0.109864094424375,0.0455071853083982,-2.41421423188086,0.0164084262568295,0.151899971693317,"EVI2A"
"ILMN_2042651",-0.0889710111493854,0.0356099264283405,-2.49848904710393,0.013043774448214,0.140684777432351,"EVI2B"
"ILMN_1763452",-0.0692238661858421,0.034257888008989,-2.02066940517986,0.0442623397466752,0.223059875177152,"EVI2B"
"ILMN_1730622",0.0706024630844747,0.0317255227168824,2.22541528202795,0.0268470243176958,0.181669138127163,"EVL"
"ILMN_1771689",0.084461244559799,0.028661598521641,2.94684347406605,0.00347952571338712,0.0880618317977609,"EXD2"
"ILMN_2065783",0.0658202948333766,0.028253770363119,2.32961102137699,0.0205353220404797,0.164419661250676,"EXOC2"
"ILMN_1651628",-0.0658235667162276,0.0327811833619089,-2.00796798546063,0.0456036573602911,0.226189820413034,"EXOC6"
"ILMN_1701839",0.0717827303447612,0.0304571069686785,2.35684664398956,0.0191170756064675,0.160590092052058,"EXOSC1"
"ILMN_2402168",0.0712197832938733,0.0327745933161018,2.17301806332052,0.0306143597933417,0.191843590052947,"EXOSC10"
"ILMN_1721713",0.100437412429707,0.0276964860280017,3.62635939910076,0.00034123642394575,0.0481033886531924,"EXOSC9"
"ILMN_1778226",-0.0828744870956374,0.0407324963052689,-2.03460368533605,0.042829481374354,0.219106541359687,"EXTL3"
"ILMN_1791436",-0.0712168785433687,0.034545345032303,-2.06154775634096,0.0401704516612046,0.214315728958251,"EZH1"
"ILMN_2342033",-0.096975142863402,0.0408713793856159,-2.37269072688873,0.0183322533694067,0.157942832254518,"F11R"
"ILMN_1671766",-0.0817045531175946,0.0330333163190414,-2.47339844199953,0.0139748608613189,0.144624267620008,"F12"
"ILMN_1758658",-0.0738490869554244,0.0298624826778211,-2.47297211528471,0.0139911784886662,0.144624267620008,"FADD"
"ILMN_1667016",0.0585864213903033,0.0264002160091723,2.21916447084935,0.0272742200739593,0.182956932643774,"FAF1"
"ILMN_2146657",0.0955466534143539,0.0303244171563863,3.15081582348672,0.00180399013936979,0.0743541502804165,"FAHD2B"
"ILMN_1775542",0.119712266127217,0.0364571216910207,3.28364556976811,0.00115445248013085,0.0650070565572271,"FAIM3"
"ILMN_1714418",-0.0921716704884632,0.0453566171993154,-2.03215486912138,0.043078399088813,0.220052094834422,"FAM101B"
"ILMN_1714065",-0.0881707164054541,0.0368217374202035,-2.39452895443973,0.0172970450023212,0.154445530631618,"FAM101B"
"ILMN_1745112",0.149568188676866,0.0378646070188746,3.95007899071313,9.88550117444664e-05,0.0331151107322164,"FAM102A"
"ILMN_2401779",0.0855306548385367,0.0391640656694869,2.18390642994899,0.0297959371270866,0.190395562015065,"FAM102A"
"ILMN_2098437",0.0598574935173093,0.0273466394862273,2.18884274784313,0.0294311738289119,0.189173364900305,"ST13P4"
"ILMN_1676302",0.0886028872843838,0.0347815072602785,2.54741367650766,0.0113854830516305,0.135339428861503,"FAM113A"
"ILMN_1712431",0.123962359746172,0.0349475560115387,3.54709667552268,0.000456234559261884,0.0525877545646425,"FAM113B"
"ILMN_1659029",-0.0654137805279566,0.0288691282750061,-2.26587307745588,0.0242199952950077,0.174579323220579,"FAM116B"
"ILMN_1723846",0.080004150639756,0.0397452607106145,2.01292303055368,0.045076344533825,0.225362933029886,"METTL21B"
"ILMN_2121207",-0.0562088830122773,0.021595343311163,-2.60282423865065,0.00973672706790282,0.127413491954927,"FAM125A"
"ILMN_2401258",0.103355517354596,0.0378427043914681,2.73118739837997,0.00670987546597623,0.108461248435201,"FAM13A"
"ILMN_1752510",0.0926070951868053,0.0406715308026921,2.27695130621136,0.0235409287373577,0.173382454727454,"FAM13A"
"ILMN_2185675",0.107423951856676,0.0380008951677276,2.82687950856237,0.0050379881620364,0.0973037520377852,"FAM159A"
"ILMN_1802971",0.0709033574096103,0.0301107061947224,2.35475571217383,0.0192228230108289,0.160742519033618,"FAM160B2"
"ILMN_1803647",0.072686930911307,0.0343954705495334,2.1132704321236,0.0354591255644359,0.203296726586923,"FAM162A"
"ILMN_1749868",0.104729048538912,0.0327046134594971,3.2022714064061,0.00152016554559324,0.0720666622681634,"FAM171A1"
